label,total_goals,home_goals,away_goals,goal_diff,fixture_id,league_id,home_team_id,away_team_id,home_position,away_position,home_points,away_points,position_diff,points_diff,home_strength,away_strength,strength_diff,home_goals_avg,home_goals_against_avg,away_goals_avg,away_goals_against_avg,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_total,h2h_home_win_pct,h2h_draw_pct,odds_home,odds_draw,odds_away,market_home_prob,market_draw_prob,market_away_prob
0,3,2,1,1,1213947,61,79,91,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,2,1,1,0,1224178,78,161,176,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,1,1,0,1,1213945,61,94,93,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,5,5,0,5,1224177,78,160,162,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,2,0,2,-2,1213941,61,94,79,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,2,0,2,-2,1224167,78,180,164,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,4,3,1,2,1224166,78,169,191,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,4,1,3,-2,1213943,61,111,84,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,1,0,1,-1,1213942,61,93,77,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,2,0,2,-2,1213939,61,116,95,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,4,1,3,-2,1224168,78,162,167,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,5,1,4,-3,1213938,61,82,80,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,1,0,1,-1,1213936,61,96,85,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,8,7,1,6,1213944,61,91,83,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,0,0,0,0,1224164,78,168,157,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,6,5,1,4,1213937,61,81,1063,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,1,0,1,-1,1224172,78,186,160,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,3,1,2,-1,1224170,78,182,163,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,3,1,2,-1,1224165,78,172,161,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,2,2,0,2,1224171,78,176,165,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,4,2,2,0,1213940,61,106,108,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,0,0,0,0,1224169,78,170,173,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,2,0,2,-2,1213934,61,77,81,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,2,2,0,2,1224156,78,173,186,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,2,2,0,2,1213929,61,95,82,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,4,2,2,0,1213927,61,108,96,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,4,2,2,0,1224163,78,191,176,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,4,4,0,4,1213933,61,80,93,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,2,0,2,-2,1213931,61,1063,94,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,3,1,2,-1,1213930,61,79,111,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,2,1,1,0,1224162,78,163,169,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,2,2,0,2,1213935,61,84,116,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,3,1,2,-1,1224157,78,165,172,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,0,0,0,0,1224161,78,164,170,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,4,0,4,-4,1224158,78,167,182,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,0,0,0,0,1224160,78,161,168,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,1,1,0,1,1224159,78,160,180,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,5,4,1,3,1213932,61,85,91,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,3,3,0,3,1224155,78,157,162,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,2,0,2,-2,1213928,61,83,106,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,5,3,2,1,1213918,61,81,80,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,4,3,1,2,1224146,78,168,167,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,1,1,0,1,1213925,61,94,95,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,2,1,1,0,1213923,61,77,111,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,3,1,2,-1,1213922,61,93,83,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,2,1,1,0,1224149,78,169,161,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,2,1,1,0,1213924,61,96,84,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,5,4,1,3,1213921,61,79,1063,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,6,4,2,2,1213926,61,91,108,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,0,0,0,0,1224152,78,182,173,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,7,2,5,-3,1213919,61,106,85,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,3,1,2,-1,1224150,78,180,165,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,1,0,1,-1,1224153,78,176,160,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,7,4,3,1,1224148,78,157,191,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,2,1,1,0,1224154,78,186,170,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,3,1,2,-1,1224147,78,172,163,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,2,0,2,-2,1213920,61,82,116,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,1,1,0,1,1224151,78,162,164,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,2,2,0,2,1213917,61,84,81,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,3,3,0,3,1224145,78,186,182,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,2,1,1,0,1213910,61,83,80,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,3,1,2,-1,1213912,61,96,82,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
0,1,1,0,1,1213915,61,116,77,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,4,2,2,0,1224139,78,167,169,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
2,1,0,1,-1,1213913,61,111,106,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
1,2,1,1,0,1213916,61,85,93,10,10,30,30,0,0,1.0,1.0,0.0,1.5,1.5,1.5,1.5,0,0,0,0,0.33,0.33,2.5,3.0,2.5,0.33,0.33,0.33
